Grab Nr. ,LT A Fibel,"Halsring einfach/geritzt, Vollguss","Arm/Fussring einfach, vollguss lochverschluss/ Steckverschluss","Arm-/Fussring einfach od. geritzt, hohl",Glasperlen,Bernsteinkette,Arm-/Fussring gerippt vollguss,Hirschgeweih,Halsring m. Muffen,Armring mit Muffen,Draht-Fingerring runder QS,Arm-/Fussring vollguss massiv,"Halsring plastisch, vollguss","Halsring hohlblech, geritzt",Arm-/Fussringe gerippt dicht,Certosafibel,Schwert,Kette,Lanze,LT B1 Fibel,Armreif mit Korallenauflage,Fingerring flachblech,Schaukelfingerringe,Arm-/Fussring plastisch gerippt,LT B2 Fibel,"Arm-/Fussring genoppt/ plastisch, Vollguss",Ring/ Fuss-/Armring Blech um Eisen/Ton,Hohlbuckelarmringe,Fingerring mehrfach gewickelt/plastisch,LT C1 Fibel,Glasarmring gerippt,Glasarmring genoppt,Glasarmring Fadenauflage,GÃ¼rtelkette,LT C2 Fibel,Fibel_fragm,Schwert_LtA,Schwert_LtB,Schwert_LtD,Keramik,Schildbickel
32,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
31,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8b,2,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
12,3,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8a,2,0,0,4,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,4,0,2,4,6,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,2,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23,3,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
44,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
51,1,0,3,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
40,2,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
62,0,0,0,0,5,1,0,0,0,0,1,4,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,
72,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
80,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
68,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
79,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
61,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,1,0,2,4,0,0,0,0,0,0,0,0,0,0,,,,,,
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,
81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,,,,,,
84,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1,1,4,2,1,0,0,0,0,0,0,0,0,0,,,,,,
86,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,8,1,0,0,0,0,0,0,0,0,0,,,,,,
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,,,,,,
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,5,1,0,0,0,0,0,0,0,0,0,,,,,,
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,1,0,0,0,0,0,0,0,0,0,,,,,,
121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,,,,,,
145,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,,,,,,
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,7,0,1,1,0,0,0,0,0,0,0,,,,,,
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,
134,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,3,1,0,0,0,0,0,0,0,0,0,,,,,,
157,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,4,13,0,0,1,1,0,0,0,0,0,0,,,,,,
161,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,1,6,0,0,0,0,0,,,,,,
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,1,0,0,0,0,0,,,,,,
180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,,,,,,
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,,,,,,
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,0,,,,,,
168,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,0,,,,,,
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,15,0,1,2,0,1,0,0,0,1,0,,,,,,
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,21,0,0,0,1,0,,,,,,
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,
7,,1,1,,9,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
10,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,
11,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13a,,1,2,,6,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
13b,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13c,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
20,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
38,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
45,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,1,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
63,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
83,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
90,,,1,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,,,,,,
94,,,1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
96,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
106,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,
120,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
126,,,1,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
129,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,
131,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,3,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,4,,,,,
138,,,1,,,,,,,,,,,,,,1,,1,2,,,1,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,
146,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
150,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
152,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,1,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
170,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,
183,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,1
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
